domain,layer,top_k,perm_idx,null_overlap_total
external_lung,11,50,7,0.0
external_lung,11,50,8,0.0
external_lung,11,50,9,0.0
external_lung,11,50,10,0.0
external_lung,11,50,11,0.0
external_lung,11,50,12,0.0
external_lung,11,50,13,0.0
external_lung,11,50,14,0.0
external_lung,11,50,15,0.0
external_lung,11,50,16,0.0
external_lung,11,50,17,0.0
external_lung,11,50,18,0.0
external_lung,11,50,19,0.0
external_lung,11,50,20,0.0
external_lung,11,50,21,0.0
external_lung,11,50,22,0.0
external_lung,11,50,23,0.0
external_lung,11,50,24,0.0
external_lung,11,50,25,0.0
external_lung,11,50,26,0.0
external_lung,11,50,27,0.0
external_lung,11,50,28,0.0
external_lung,11,50,29,0.0
external_lung,11,50,30,0.0
external_lung,11,50,31,0.0
external_lung,11,50,32,0.0
external_lung,11,50,33,0.0
external_lung,11,50,34,0.0
external_lung,11,50,35,0.0
external_lung,11,50,36,0.0
external_lung,11,50,37,0.0
external_lung,11,50,38,0.0
external_lung,11,50,39,0.0
external_lung,11,50,40,0.0
external_lung,11,50,41,0.0
external_lung,11,50,42,0.0
external_lung,11,50,43,0.0
external_lung,11,50,44,0.0
external_lung,11,50,45,0.0
external_lung,11,50,46,0.0
external_lung,11,50,47,0.0
external_lung,11,50,48,0.0
external_lung,11,50,49,0.0
external_lung,11,50,50,0.0
external_lung,11,50,51,0.0
external_lung,11,50,52,0.0
external_lung,11,50,53,0.0
external_lung,11,50,54,0.0
external_lung,11,50,55,0.0
external_lung,11,50,56,0.0
external_lung,11,50,57,0.0
external_lung,11,50,58,0.0
external_lung,11,50,59,0.0
external_lung,11,50,60,0.0
external_lung,11,50,61,0.0
external_lung,11,50,62,0.0
external_lung,11,50,63,0.0
external_lung,11,50,64,0.0
external_lung,11,50,65,0.0
external_lung,11,50,66,0.0
external_lung,11,50,67,0.0
external_lung,11,50,68,0.0
external_lung,11,50,69,0.0
external_lung,11,50,70,0.0
external_lung,11,50,71,0.0
external_lung,11,50,72,0.0
external_lung,11,50,73,0.0
external_lung,11,50,74,0.0
external_lung,11,50,75,0.0
external_lung,11,50,76,0.0
external_lung,11,50,77,0.0
external_lung,11,50,78,0.0
external_lung,11,50,79,0.0
external_lung,11,50,80,0.0
external_lung,11,50,81,0.0
external_lung,11,50,82,0.0
external_lung,11,50,83,0.0
external_lung,11,50,84,0.0
external_lung,11,50,85,0.0
external_lung,11,50,86,0.0
external_lung,11,50,87,0.0
external_lung,11,50,88,0.0
external_lung,11,50,89,0.0
external_lung,11,100,0,0.0
external_lung,11,100,1,0.0
external_lung,11,100,2,0.0
external_lung,11,100,3,0.0
external_lung,11,100,4,0.0
external_lung,11,100,5,0.0
external_lung,11,100,6,0.0
external_lung,11,100,7,0.0
external_lung,11,100,8,0.0
external_lung,11,100,9,0.0
external_lung,11,100,10,0.0
external_lung,11,100,11,0.0
external_lung,11,100,12,0.0
external_lung,11,100,13,0.0
external_lung,11,100,14,0.0
external_lung,11,100,15,0.0
external_lung,11,100,16,0.0
external_lung,11,100,17,0.0
external_lung,11,100,18,0.0
external_lung,11,100,19,0.0
external_lung,11,100,20,0.0
external_lung,11,100,21,0.0
external_lung,11,100,22,0.0
external_lung,11,100,23,0.0
external_lung,11,100,24,0.0
external_lung,11,100,25,0.0
external_lung,11,100,26,0.0
external_lung,11,100,27,0.0
external_lung,11,100,28,0.0
external_lung,11,100,29,0.0
external_lung,11,100,30,0.0
external_lung,11,100,31,0.0
external_lung,11,100,32,0.0
external_lung,11,100,33,0.0
external_lung,11,100,34,0.0
external_lung,11,100,35,0.0
external_lung,11,100,36,0.0
external_lung,11,100,37,0.0
external_lung,11,100,38,0.0
external_lung,11,100,39,0.0
external_lung,11,100,40,0.0
external_lung,11,100,41,0.0
external_lung,11,100,42,0.0
external_lung,11,100,43,0.0
external_lung,11,100,44,0.0
external_lung,11,100,45,0.0
external_lung,11,100,46,0.0
external_lung,11,100,47,0.0
external_lung,11,100,48,0.0
external_lung,11,100,49,0.0
external_lung,11,100,50,0.0
external_lung,11,100,51,0.0
external_lung,11,100,52,0.0
external_lung,11,100,53,0.0
external_lung,11,100,54,0.0
external_lung,11,100,55,0.0
external_lung,11,100,56,0.0
external_lung,11,100,57,0.0
external_lung,11,100,58,0.0
external_lung,11,100,59,0.0
external_lung,11,100,60,0.0
external_lung,11,100,61,0.0
external_lung,11,100,62,0.0
external_lung,11,100,63,0.0
external_lung,11,100,64,0.0
external_lung,11,100,65,0.0
external_lung,11,100,66,0.0
external_lung,11,100,67,0.0
external_lung,11,100,68,0.0
external_lung,11,100,69,0.0
external_lung,11,100,70,0.0
external_lung,11,100,71,0.0
external_lung,11,100,72,0.0
external_lung,11,100,73,0.0
external_lung,11,100,74,0.0
external_lung,11,100,75,0.0
external_lung,11,100,76,0.0
external_lung,11,100,77,0.0
external_lung,11,100,78,0.0
external_lung,11,100,79,0.0
external_lung,11,100,80,0.0
external_lung,11,100,81,0.0
external_lung,11,100,82,0.0
external_lung,11,100,83,0.0
external_lung,11,100,84,0.0
external_lung,11,100,85,0.0
external_lung,11,100,86,0.0
external_lung,11,100,87,0.0
external_lung,11,100,88,0.0
external_lung,11,100,89,0.0
external_lung,11,200,0,0.0
external_lung,11,200,1,0.0
external_lung,11,200,2,0.0
external_lung,11,200,3,0.0
